page,position_on_page,title,card_url,price,rating,date,views,downloads,comments,author,preview,tags,source_page_url
1,11,"Загрузка информации из внешних данных с помощью конфигурации ""Конвертация данных""",https://infostart.ru/1c/tools/16316/,,384,02.09.2008,59222,4033,70,K_A_O,"Обработка, позволяющая создавать правила обмена в конфигурации ""Конвертация данных 2"" и загружать данные из файлов Excel, DBF, CSV, XML и любых источников, поддерживающих интерфейс ADO. Имеет обычную и управляемую форму.","Внешние источники данных | Загрузка и выгрузка в Excel | Файловый обмен (TXT, XML, DBF), FTP | Программист | 1С:Предприятие 8 | 1С:Конвертация данных | Россия | Абонемент ($m)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,12,Выгрузка в Excel больших отчетов,https://infostart.ru/1c/tools/14392/,1 стартмани,103,28.09.2006,36980,3918,38,victuan,"1С не позволяет сохранить в Excel отчеты с большим количеством ячеек (например, 100 столбцов на 10 000 строк). Моя обработка позволяет решить эту проблему. НЕ использует никаких внешних компонент!!!",Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 7.7 | 1C77 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,13,Универсальная выгрузка справочников из 1С8 в Excel,https://infostart.ru/1c/tools/15780/,1 стартмани,123,28.04.2008,55852,3443,79,evgaid,Выгружает данные справочников в файл Excel.,Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,14,Загрузка данных из табличного документа (управляемые формы),https://infostart.ru/1c/tools/269425/,1 стартмани,152,28.03.2014,133792,3191,91,proal,"Обработка загрузки данных из табличного документа на основе стандартной от 1С, переделанная для тонкого клиента. Для 8.2 и 8.3",Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,15,Загрузка накладных из EXCEL,https://infostart.ru/1c/tools/15014/,,40,16.08.2007,19979,3154,26,ahmet,"Загрузка накладных поставщика из EXCEL. Может использоваться любой файл EXCEL. - выбор колонок идентификаторов загрузки, - выбор колонки цены и пр... Обработка сделана для нетиповой конфигурации, но умеющий делать сможет приспособить.",Загрузка и выгрузка в Excel | Оперативный учет 7.7 | Бухгалтерский учет 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,16,[MXL to XLS],https://infostart.ru/1c/tools/15605/,,97,10.03.2008,50683,2922,28,Ужас бухгалтера,Решаем две существующие проблемы 1С:Предприятия: * медленное сохранение табличных документов в формате Microsoft Excel. * некачественное сохранение табличных документов в формате Microsoft Excel.,Загрузка и выгрузка в Excel | Работа с интерфейсом | Разработка внешних компонент | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,17,"Заполнение документов, шаблонов или бланков, созданных в MS Word из 1С: Предприятия 7.7",https://infostart.ru/1c/tools/14019/,,44,28.04.2006,23853,2805,4,Evgeny_Tihon,"Пример заполнения документов, шаблонов или бланков, созданных в MS Word из 1С: Предприятия 7.7.",Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,18,Импорт для всех конф семерки!,https://infostart.ru/1c/tools/18984/,,90,06.02.2009,21719,2515,21,floraukraine,"Переносит любые справочники, документы и т.д. Работаю с ней уже год - все отлично при любом количестве строк.","Файловый обмен (TXT, XML, DBF), FTP | Загрузка и выгрузка в Excel | Перенос данных 1C | Системный администратор | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,19,Сохранение (конвертация) больших MXL-таблиц в Excel.,https://infostart.ru/1c/tools/14124/,,24,06.06.2006,19573,2469,6,antonrost,"В процессе работы рекомендуется не пользоваться клавиатурой и не переключаться в другие приложения, так как используется SendKeys.",Загрузка и выгрузка в Excel | Работа с интерфейсом | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,20,Объявление на взнос наличными + Перепроводительная ведомость (новые формы) для MS Excel,https://infostart.ru/1c/tools/16295/,1 стартмани,101,29.08.2008,105434,2445,46,victuan,"Новая форма объявления на взнос наличными и перепроводительной ведомости (вступает в силу с 1 сентября 2008). Представляет собой книгу Эксель с формулами и макросами. Не привязана к 1С, требует установленного на компьютере МS Excel. Заполните нужные данные в желтых и зеленых ячейках в объявлении (верхняя часть бланка). В Квитанции и Ордере даные впишутся сами. Обеспечена автомачическая пропись суммы. Т.е. заполните данные по частным символам, а общая сумма цифрами и прописью будет вписана сама! Суммы цифрами добиваются символом ""====="" в конце, как и требует форма.",Инструкции пользователю | Загрузка и выгрузка в Excel | Зарплата | Бухгалтер | Россия | Бухгалтерский учет | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,21,"Календарные графики v1.1: Просмотр, редактирование, автозаполнение календарей",https://infostart.ru/1c/tools/14496/,,185,20.11.2006,32485,2430,67,clappa,"Просмотр, редактирование и автозаполнение календарей, просмотр и редактирование рабочих графиков сотрудников.",Загрузка и выгрузка в Excel | Зарплата | Учет рабочего времени | Мастера заполнения | Расчет 7.7 | 1С:Зарплата и кадры 7.7 | 1С:Комплексная 7.7 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,22,Правим справочники в Excel-е,https://infostart.ru/1c/tools/16140/,1 стартмани,313,29.07.2008,32736,2424,109,Noy,"Вроде бы ничего нового, но все же... Очень удобно выгрузить справочник в Excel и там его уже ""подкрутить"" как хочешь, используя формулы, фильтры и тп.... или просто отдать неопытному пользователю для исправления названий, реквизитов и других реквизитов, при этом не переживая, что пользователь что-нибудь серьезно испортит... Версия 2! Ввод новых элементов, редактируем даты, перечисления, справочники 05.02.09 - Теперь работает на подчиненных справочниках 29.03.12 - Добавлена возможность подбора элементов с помощью UCHOICE.ERT",Загрузка и выгрузка в Excel | Оперативный учет 7.7 | Бухгалтерский учет 7.7 | Расчет 7.7 | 1C77 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,23,Загрузка из Excel в таблицу значений,https://infostart.ru/1c/tools/15535/,,59,13.02.2008,22275,2273,8,Prepod2003,Загрузка из Excel в таблицу значений,Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,24,Загрузка справочников в ТиС из xls-файлов (работает без установленного Excel),https://infostart.ru/1c/tools/15533/,,27,12.02.2008,17196,2263,9,zaic,Это переделанная обработка для импорта справочников номенклатуры и цен в ТиС из Excel-файлов (теперь она работает без Excel). Использовалась версия ТиС 949,"Загрузка и выгрузка в Excel | Ценообразование, анализ цен | Системный администратор | Программист | Оперативный учет 7.7 | 1С:Торговля и склад 7.7 | Россия | Бесплатно (free)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,25,"Загрузка справочника номенклатура в Управление торговлей 10.3, Комплексная автоматизация 1.1, Управление производственным предприятием 1.3, Розница 1.0",https://infostart.ru/1c/tools/19582/,3 стартмани,74,09.04.2009,30591,2239,45,bestuzheff,"Загрузка справочника номенклатура из Excel в Управление торговлей 10.3, Комплексная автоматизация 1.1, Управление производственным предприятием 1.3, Розница 1.0","Загрузка и выгрузка в Excel | Логистика, склад и ТМЦ | Системный администратор | Программист | 1С:Предприятие 8 | 1С:Комплексная автоматизация 1.х | 1С:Управление торговлей 10 | 1С:Розница 2 | 1С:Управление производственным предприятием | Россия | Абонемент ($m)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,26,"Удобная загрузка номенклатуры, картинок, прайсов и накладных из Excel (xls) и dbf-файлов для 1с 8.1/8.2 (обычные формы)",https://infostart.ru/1c/tools/95481/,1 стартмани,174,20.10.2011,73867,2102,348,sacred,"Удобная загрузка номенклатуры (с картинками), в справочник Номенклатура и любые документы с табличной частью Товары, включая УстановкуЦенНоменклатуры из Excel (xls) и dbf-файлов для 1с 8.1/8.2. Только в обычном (не управляемом) режиме запуска.","Логистика, склад и ТМЦ | Ценообразование, анализ цен | Файловый обмен (TXT, XML, DBF), FTP | Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Абонемент ($m)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,27,XLS2MXL,https://infostart.ru/1c/tools/15898/,1 стартмани,167,02.06.2008,39665,2095,48,Re:аниматор,Преобразование таблицы XLS в MXL,Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,28,Импорт документов из MS Excel,https://infostart.ru/1c/tools/15770/,1 стартмани,57,24.04.2008,17772,2009,22,PowerBoy,Импортирует документы из файла MS Excel,Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,29,"1C 8.1: Потоковая загрузка документов из Excel ( универсальная, xls dbf txt mxl )",https://infostart.ru/1c/tools/19062/,1 стартмани,118,16.02.2009,44159,1900,58,ZLENKO,"Настраиваемая потоковая загрузка документов из ""плоской"" (денормализованной) таблицы (xls, dbf, txt, mxl)",Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,30,Чтение файлов *.xlsx средствами 1С 8.2,https://infostart.ru/1c/tools/139556/,,149,13.06.2012,48883,1864,43,Abadonna,"Формат файлов *.xlsx представляет собой фактически ZIP-архив, внутри которого находятся xml-файлы, что позволяет считывать значения ячеек исключительно средствами 1С 8.2",Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,31,Формирование на основании файла Excel приходного документа,https://infostart.ru/1c/tools/16502/,,64,08.10.2008,18664,1833,12,itmind,Формирует на основании файла Excel один из 3 видов документов: 1. Поступление товаров и услуг 2. Оприходование товаров 3. Приходный ордер на товары,"Загрузка и выгрузка в Excel | Логистика, склад и ТМЦ | 1С:Предприятие 8 | 1С:Управление торговлей 10 | 1С:Управление производственным предприятием | Россия | Бесплатно (free)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,32,"Универсальная загрузка данных : Прыг-Скок...или из MS EXCEL в 1С (7.7) или как ""забить товар""",https://infostart.ru/1c/tools/69253/,1 стартмани,167,19.04.2010,69929,1758,97,Tatitutu,"Предыстория: постоянно на форуме спрашивают - ""как загрузить из EXCEL в 1С нужную информацию?"" и начинается... Готовый пример КАК...",Загрузка и выгрузка в Excel | 1С:Предприятие 7.7 | Оперативный учет 7.7 | Бухгалтерский учет 7.7 | Расчет 7.7 | 1C77 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,33,Универсальный импорт в 1С из Excel (для 7.7),https://infostart.ru/1c/tools/19431/,,16,25.03.2009,27110,1719,9,progas,Универсальный импорт в 1С из Excel Внешняя обработка (ert) для импорта данных из Excel файлов в 1С (7.7).,Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,34,"Загрузка справочников из EXCEL, DBF, TXT",https://infostart.ru/1c/tools/19903/,1 стартмани,86,06.05.2009,20490,1713,32,Serj kuban,"Вот еще одна обработка для загрузки из электронных таблиц. Может, кому пригодится","Загрузка и выгрузка в Excel | Файловый обмен (TXT, XML, DBF), FTP | 1С:Предприятие 7.7 | 1C77 | Абонемент ($m)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,35,Перенос данных 7.1.16,https://infostart.ru/1c/tools/14395/,,249,28.09.2006,39252,1702,48,mclarry,"Перенос данных между базами 1С через файлы, OLE, а также из Excel в 1С. Конфигурации баз могут не совпадать.",Загрузка и выгрузка в Excel | Перенос данных 1C | Системный администратор | Программист | 1С:Предприятие 7.7 | 1C77 | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,36,Заполнение шаблонов в Word и Excel,https://infostart.ru/1c/tools/16466/,1 стартмани,141,01.10.2008,54632,1692,91,zsrg,"Внешняя обработка подключаемая как ""Печатная форма"" через регистрацию внешних печатных форм. Для заполнения подготовленных документов в Word или Excel. Добавлена ""универсальность"" отчета. Теперь работает с любой, даже самописной, конфигурацией без каких-либо доработок. ОБНОВЛЕНИЕ от 29.09.2010",Загрузка и выгрузка в Excel | Печатные формы | 1С:Предприятие 7.7 | 1C77 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,37,Загрузка файла Excel в 1С с проработкой юзабилити,https://infostart.ru/1c/tools/20610/,1 стартмани,84,23.06.2009,28155,1689,30,kote,"Универсиализированная обработка по 1С 7.7, позволяющая взять любой файлик Excel, открыть его, указать действие, которое нужно сделать, сопоставить поля экселя с предложенными и загрузить данные в 1С..",Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 7.7 | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,38,Загрузка данных из Excel в документы 1С УТ 10.3 и не только...,https://infostart.ru/1c/tools/84771/,1 стартмани,96,29.04.2011,39580,1607,176,CXY,"Писалась по заказу клиента, в итоге теперь пишется для души (не торопясь). Здесь представлен основной механизм, который должен отвечать концепции универсальной загрузки. До конца не доработан (пока) универсальный механизм привязки реквизитов шапки документа. В первую очередь обработка предназначена для загрузки данных в документ ""Поступление товаров и услуг"", однако может работать во всех других случаях (при необходимости возможно сделать изменения, код ПОЛНОСТЬЮ ОТКРЫТЫЙ.",Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 8 | 1С:Комплексная автоматизация 1.х | 1С:Бухгалтерия 2.0 | 1С:Управление торговлей 10 | 1С:Управление производственным предприятием | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,39,Загрузка документов и справочников из EXCEL (для 8.1),https://infostart.ru/1c/tools/19884/,1 стартмани,59,05.05.2009,12342,1552,45,Serj kuban,Пошаговый мастер для импорта документов и справочников из Excel.,Загрузка и выгрузка в Excel | Системный администратор | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
1,40,Формирование трудового договора на основании шаблона MS Word,https://infostart.ru/1c/tools/18610/,,40,19.12.2008,21936,1533,14,vovk_v,"Внешняя обработка для конфигурации ""Зарплата и управление персоналом"". Позволяет формировать трудовой договор на основании шаблона, подготовленного в MS Word.",Загрузка и выгрузка в Excel | Кадровый учет | 1С:Предприятие 8 | 1С:Зарплата и Управление Персоналом 2.5 | Россия | Бесплатно (free),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=1
2,1,Переход на Йоксель за 1 минуту (сверхскоростные группировки по строкам в Йоксель и мгновенная выгрузка в Excel),https://infostart.ru/1c/tools/18989/,1 стартмани,87,08.02.2009,55620,1525,88,Djelf,"Универсальная разработка, не требующая изменений в конфигурации (кроме добавления одной кнопки), предназначенная для тех, кто не хочет или не может вносить значительные изменения в типовые конфигурации 1С (ТиС, ПУб, Комплексная и т.п.) и при этом нуждается в быстрой работе с группировками по строкам и в быстром сохранении файлов в формате Excel (группировки сохраняются).",Загрузка и выгрузка в Excel | Разработка внешних компонент | Работа с интерфейсом | Программист | 1С:Предприятие 7.7 | 1C77 | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=2
2,2,Простой пример загрузки XLS,https://infostart.ru/1c/tools/21350/,1 стартмани,105,24.07.2009,23512,1493,108,Шёпот теней,"... ЧТО МОЖНО СКАЗАТЬ: много, много примеров по загрузке данных из XLS в 1С ... лично Я перепробовав много вариантов остановился на этом ... ничего лишнего ... немного ручной работы в коде для адаптации под каждый файл XLS для согласования страниц и колонок с табличной частью обработки ... файлы по 150 000 строк и колонками количеством 25 грузятся за секунды ...",Загрузка и выгрузка в Excel | Программист | 1С:Предприятие 8 | 1C:Бухгалтерия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=2
2,3,"Загрузка цен из Excel в документ ""Установка цен номенклатуры""",https://infostart.ru/1c/tools/19165/,1 стартмани,75,27.02.2009,30507,1464,52,egorover,"Загрузка цен из Excel в документ ""Установка цен номенклатуры""","Загрузка и выгрузка в Excel | Ценообразование, анализ цен | 1С:Предприятие 8 | 1С:Управление торговлей 10 | 1С:Управление производственным предприятием | Россия | Абонемент ($m)",https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=2
2,4,"Конвертер XLS -> MXL для 1С 8.1, 8.2, 8.3",https://infostart.ru/1c/tools/77508/,1 стартмани,145,31.10.2010,33019,1401,60,sondarium,Внешняя обработка - конвертирует excel-файлы *.xls|*.xlsx в таблицы 1С *.mxl,Загрузка и выгрузка в Excel | 1С:Предприятие 8 | 1C:Бухгалтерия | Россия | Абонемент ($m),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=2
2,5,"Загрузка документов в 1С (7.7) из табличных файлов Excel,OpenOffice,1C,DBF,TXT (обработка)",https://infostart.ru/marketplace/62473/,5094 руб.,70,10.12.2009,79477,1389,93,93,"Обработка решает поставленную задачу по вводу документов, а кроме того обладает важной функцией: настраивается на ассортимент конкретного поставщика, запоминая соответствие между его номенклатурой и «нашей». Т.е. фактически – является самообучающейся системой ввода накладных. У разных поставщиков могут быть накладные различного типа, с разным количеством полей, поэтому для каждого из них может быть сохранена своя собственная настройка диалоговой формы так, что любая поступающая накладная может быть обработана. По отношению к программе ""1С:Предприятие 7.7"" данное решение является внешними файлами. Для использования данного продукта не требуется вносить изменения в алгоритм существующих программ или используемых конфигураций.",Загрузка и выгрузка в Excel | 1С:Предприятие 7.7 | 1C77 | Платные (руб),https://infostart.ru/public/all/integraciya_i_obmen_dannymi/zagruzka_i_vygruzka_v_excel/?sort=property_count_download&PAGEN_1=2
